threshold,recall,specificity,precision,balanced_accuracy,false_negatives,false_positives
0.2,0.943,0.205,0.5379,0.574,9,128
0.25,0.9177,0.3292,0.5731,0.6235,13,108
0.3,0.8861,0.4224,0.6009,0.6542,18,93
0.35,0.8354,0.5776,0.66,0.7065,26,68
0.4,0.7532,0.646,0.6761,0.6996,39,57
0.45,0.6899,0.7453,0.7267,0.7176,49,41
0.5,0.6456,0.8012,0.7612,0.7234,56,32
0.55,0.6139,0.8509,0.8017,0.7324,61,24
0.6,0.519,0.882,0.8119,0.7005,76,19
0.65,0.4747,0.8944,0.8152,0.6845,83,17
0.7,0.4241,0.9006,0.8072,0.6623,91,16
0.75,0.3608,0.913,0.8028,0.6369,101,14
0.8,0.3228,0.9317,0.8226,0.6272,107,11
